transformation_id,recommendation_id,transformation_type,transformation_title,transformation_text,system_dependency,data_dependency,readiness_level,typical_use_case,advanced_intelligence_option
TRN-D07-01-03,REC-D07-01-03,AI/Automation,"Control, alerting, and intelligence for Customer Onboarding Success","Use dashboards, alerts, and selective intelligence to improve control over customer onboarding success. Typical opportunities include customer onboarding task orchestration and reminders, with higher-value intelligence layers such as risk detection from onboarding milestone slippage once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,customer onboarding task orchestration and reminders,risk detection from onboarding milestone slippage
TRN-D07-02-01,REC-D07-02-01,Process,Process blueprint for Product / Service Adoption,"Before automation is layered on, create a stable process blueprint for product / service adoption with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,playbooks and lifecycle-triggered tasks,churn-risk and adoption-opportunity scoring
TRN-D07-02-02,REC-D07-02-02,Automation,Workflow automation for Product / Service Adoption,"Use workflow automation to reduce delay-prone manual steps in product / service adoption, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include playbooks and lifecycle-triggered tasks.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,playbooks and lifecycle-triggered tasks,churn-risk and adoption-opportunity scoring
TRN-D07-02-03,REC-D07-02-03,AI/Automation,"Control, alerting, and intelligence for Product / Service Adoption","Use dashboards, alerts, and selective intelligence to improve control over product / service adoption. Typical opportunities include playbooks and lifecycle-triggered tasks, with higher-value intelligence layers such as churn-risk and adoption-opportunity scoring once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,playbooks and lifecycle-triggered tasks,churn-risk and adoption-opportunity scoring
TRN-D07-03-01,REC-D07-03-01,Process,Process blueprint for Success Management,"Before automation is layered on, create a stable process blueprint for success management with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,playbooks and lifecycle-triggered tasks,churn-risk and adoption-opportunity scoring
TRN-D07-03-02,REC-D07-03-02,Automation,Workflow automation for Success Management,"Use workflow automation to reduce delay-prone manual steps in success management, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include playbooks and lifecycle-triggered tasks.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,playbooks and lifecycle-triggered tasks,churn-risk and adoption-opportunity scoring
TRN-D07-03-03,REC-D07-03-03,AI/Automation,"Control, alerting, and intelligence for Success Management","Use dashboards, alerts, and selective intelligence to improve control over success management. Typical opportunities include playbooks and lifecycle-triggered tasks, with higher-value intelligence layers such as churn-risk and adoption-opportunity scoring once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,playbooks and lifecycle-triggered tasks,churn-risk and adoption-opportunity scoring
TRN-D07-04-01,REC-D07-04-01,Process,Process blueprint for Renewal Management,"Before automation is layered on, create a stable process blueprint for renewal management with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,renewal alerts and task orchestration,renewal risk and pricing recommendation support
TRN-D07-04-02,REC-D07-04-02,Automation,Workflow automation for Renewal Management,"Use workflow automation to reduce delay-prone manual steps in renewal management, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include renewal alerts and task orchestration.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,renewal alerts and task orchestration,renewal risk and pricing recommendation support
TRN-D07-04-03,REC-D07-04-03,AI/Automation,"Control, alerting, and intelligence for Renewal Management","Use dashboards, alerts, and selective intelligence to improve control over renewal management. Typical opportunities include renewal alerts and task orchestration, with higher-value intelligence layers such as renewal risk and pricing recommendation support once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,renewal alerts and task orchestration,renewal risk and pricing recommendation support
TRN-D07-05-01,REC-D07-05-01,Process,Process blueprint for Churn Prevention,"Before automation is layered on, create a stable process blueprint for churn prevention with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,risk-triggered playbooks and escalations,churn propensity and save-offer prioritization
TRN-D07-05-02,REC-D07-05-02,Automation,Workflow automation for Churn Prevention,"Use workflow automation to reduce delay-prone manual steps in churn prevention, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include risk-triggered playbooks and escalations.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,risk-triggered playbooks and escalations,churn propensity and save-offer prioritization
TRN-D07-05-03,REC-D07-05-03,AI/Automation,"Control, alerting, and intelligence for Churn Prevention","Use dashboards, alerts, and selective intelligence to improve control over churn prevention. Typical opportunities include risk-triggered playbooks and escalations, with higher-value intelligence layers such as churn propensity and save-offer prioritization once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,risk-triggered playbooks and escalations,churn propensity and save-offer prioritization
TRN-D07-06-01,REC-D07-06-01,Process,Process blueprint for Save Motions,"Before automation is layered on, create a stable process blueprint for save motions with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,risk-triggered playbooks and escalations,churn propensity and save-offer prioritization
TRN-D07-06-02,REC-D07-06-02,Automation,Workflow automation for Save Motions,"Use workflow automation to reduce delay-prone manual steps in save motions, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include risk-triggered playbooks and escalations.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,risk-triggered playbooks and escalations,churn propensity and save-offer prioritization
TRN-D07-06-03,REC-D07-06-03,AI/Automation,"Control, alerting, and intelligence for Save Motions","Use dashboards, alerts, and selective intelligence to improve control over save motions. Typical opportunities include risk-triggered playbooks and escalations, with higher-value intelligence layers such as churn propensity and save-offer prioritization once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,risk-triggered playbooks and escalations,churn propensity and save-offer prioritization
TRN-D07-07-01,REC-D07-07-01,Process,Process blueprint for Account Planning,"Before automation is layered on, create a stable process blueprint for account planning with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,account-review reminders and whitespace tasking,cross-sell opportunity suggestions from usage and segment patterns
TRN-D07-07-02,REC-D07-07-02,Automation,Workflow automation for Account Planning,"Use workflow automation to reduce delay-prone manual steps in account planning, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include account-review reminders and whitespace tasking.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,account-review reminders and whitespace tasking,cross-sell opportunity suggestions from usage and segment patterns
TRN-D07-07-03,REC-D07-07-03,AI/Automation,"Control, alerting, and intelligence for Account Planning","Use dashboards, alerts, and selective intelligence to improve control over account planning. Typical opportunities include account-review reminders and whitespace tasking, with higher-value intelligence layers such as cross-sell opportunity suggestions from usage and segment patterns once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,account-review reminders and whitespace tasking,cross-sell opportunity suggestions from usage and segment patterns
TRN-D07-08-01,REC-D07-08-01,Process,Process blueprint for Expansion / Upsell / Cross-Sell,"Before automation is layered on, create a stable process blueprint for expansion / upsell / cross-sell with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,account-review reminders and whitespace tasking,cross-sell opportunity suggestions from usage and segment patterns
TRN-D07-08-02,REC-D07-08-02,Automation,Workflow automation for Expansion / Upsell / Cross-Sell,"Use workflow automation to reduce delay-prone manual steps in expansion / upsell / cross-sell, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include account-review reminders and whitespace tasking.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,account-review reminders and whitespace tasking,cross-sell opportunity suggestions from usage and segment patterns
TRN-D07-08-03,REC-D07-08-03,AI/Automation,"Control, alerting, and intelligence for Expansion / Upsell / Cross-Sell","Use dashboards, alerts, and selective intelligence to improve control over expansion / upsell / cross-sell. Typical opportunities include account-review reminders and whitespace tasking, with higher-value intelligence layers such as cross-sell opportunity suggestions from usage and segment patterns once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,account-review reminders and whitespace tasking,cross-sell opportunity suggestions from usage and segment patterns
TRN-D08-01-01,REC-D08-01-01,Process,Process blueprint for Finance Operations,"Before automation is layered on, create a stable process blueprint for finance operations with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,workflow approvals and reconciliation alerts,exception summarization and anomaly detection
TRN-D08-01-02,REC-D08-01-02,Automation,Workflow automation for Finance Operations,"Use workflow automation to reduce delay-prone manual steps in finance operations, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include workflow approvals and reconciliation alerts.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,workflow approvals and reconciliation alerts,exception summarization and anomaly detection
TRN-D08-01-03,REC-D08-01-03,AI/Automation,"Control, alerting, and intelligence for Finance Operations","Use dashboards, alerts, and selective intelligence to improve control over finance operations. Typical opportunities include workflow approvals and reconciliation alerts, with higher-value intelligence layers such as exception summarization and anomaly detection once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,workflow approvals and reconciliation alerts,exception summarization and anomaly detection
TRN-D08-02-01,REC-D08-02-01,Process,Process blueprint for HR / Skills / Capacity,"Before automation is layered on, create a stable process blueprint for hr / skills / capacity with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,capacity alerts and training reminders,skills-gap identification from demand patterns
TRN-D08-02-02,REC-D08-02-02,Automation,Workflow automation for HR / Skills / Capacity,"Use workflow automation to reduce delay-prone manual steps in hr / skills / capacity, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include capacity alerts and training reminders.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,capacity alerts and training reminders,skills-gap identification from demand patterns
TRN-D08-02-03,REC-D08-02-03,AI/Automation,"Control, alerting, and intelligence for HR / Skills / Capacity","Use dashboards, alerts, and selective intelligence to improve control over hr / skills / capacity. Typical opportunities include capacity alerts and training reminders, with higher-value intelligence layers such as skills-gap identification from demand patterns once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,capacity alerts and training reminders,skills-gap identification from demand patterns
TRN-D08-03-01,REC-D08-03-01,Process,Process blueprint for IT and System Stability,"Before automation is layered on, create a stable process blueprint for it and system stability with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,incident routing and alert integration,incident pattern detection and probable cause suggestion
TRN-D08-03-02,REC-D08-03-02,Automation,Workflow automation for IT and System Stability,"Use workflow automation to reduce delay-prone manual steps in it and system stability, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include incident routing and alert integration.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,incident routing and alert integration,incident pattern detection and probable cause suggestion
TRN-D08-03-03,REC-D08-03-03,AI/Automation,"Control, alerting, and intelligence for IT and System Stability","Use dashboards, alerts, and selective intelligence to improve control over it and system stability. Typical opportunities include incident routing and alert integration, with higher-value intelligence layers such as incident pattern detection and probable cause suggestion once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,incident routing and alert integration,incident pattern detection and probable cause suggestion
TRN-D08-04-01,REC-D08-04-01,Process,Process blueprint for Data Quality and Reporting,"Before automation is layered on, create a stable process blueprint for data quality and reporting with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,scheduled data refreshes and exception flags,narrative insights and anomaly detection on KPI movement
TRN-D08-04-02,REC-D08-04-02,Automation,Workflow automation for Data Quality and Reporting,"Use workflow automation to reduce delay-prone manual steps in data quality and reporting, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include scheduled data refreshes and exception flags.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,scheduled data refreshes and exception flags,narrative insights and anomaly detection on KPI movement
TRN-D08-04-03,REC-D08-04-03,AI/Automation,"Control, alerting, and intelligence for Data Quality and Reporting","Use dashboards, alerts, and selective intelligence to improve control over data quality and reporting. Typical opportunities include scheduled data refreshes and exception flags, with higher-value intelligence layers such as narrative insights and anomaly detection on KPI movement once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,scheduled data refreshes and exception flags,narrative insights and anomaly detection on KPI movement
TRN-D08-05-01,REC-D08-05-01,Process,Process blueprint for Governance and Approvals,"Before automation is layered on, create a stable process blueprint for governance and approvals with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,approval workflows and threshold routing,policy-exception pattern analysis
TRN-D08-05-02,REC-D08-05-02,Automation,Workflow automation for Governance and Approvals,"Use workflow automation to reduce delay-prone manual steps in governance and approvals, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include approval workflows and threshold routing.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,approval workflows and threshold routing,policy-exception pattern analysis
TRN-D08-05-03,REC-D08-05-03,AI/Automation,"Control, alerting, and intelligence for Governance and Approvals","Use dashboards, alerts, and selective intelligence to improve control over governance and approvals. Typical opportunities include approval workflows and threshold routing, with higher-value intelligence layers such as policy-exception pattern analysis once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,approval workflows and threshold routing,policy-exception pattern analysis
TRN-D08-06-01,REC-D08-06-01,Process,Process blueprint for Vendor / Partner Management,"Before automation is layered on, create a stable process blueprint for vendor / partner management with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,review reminders and vendor issue tracking,vendor risk pattern detection across incidents and performance
TRN-D08-06-02,REC-D08-06-02,Automation,Workflow automation for Vendor / Partner Management,"Use workflow automation to reduce delay-prone manual steps in vendor / partner management, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include review reminders and vendor issue tracking.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,review reminders and vendor issue tracking,vendor risk pattern detection across incidents and performance
TRN-D08-06-03,REC-D08-06-03,AI/Automation,"Control, alerting, and intelligence for Vendor / Partner Management","Use dashboards, alerts, and selective intelligence to improve control over vendor / partner management. Typical opportunities include review reminders and vendor issue tracking, with higher-value intelligence layers such as vendor risk pattern detection across incidents and performance once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,review reminders and vendor issue tracking,vendor risk pattern detection across incidents and performance
TRN-D08-07-01,REC-D08-07-01,Process,Process blueprint for Risk and Compliance,"Before automation is layered on, create a stable process blueprint for risk and compliance with clear ownership, inputs, outputs, control points, and evidence requirements. This becomes the reference model for training, governance, and future system design.",Process documentation layer / workflow design standard,"Named owner, documented steps, and agreed handoff rules",Foundational,"control reminders, attestations, and breach alerts",pattern analysis on control failures and remediation themes
TRN-D08-07-02,REC-D08-07-02,Automation,Workflow automation for Risk and Compliance,"Use workflow automation to reduce delay-prone manual steps in risk and compliance, especially where approvals, handoffs, reminders, validation, or task routing can be system-driven. Typical opportunities include control reminders, attestations, and breach alerts.",Core operating system / CRM / ERP / ticketing / workflow platform,"Reliable timestamps, event data, status changes, and exception reasons",Medium,"control reminders, attestations, and breach alerts",pattern analysis on control failures and remediation themes
TRN-D08-07-03,REC-D08-07-03,AI/Automation,"Control, alerting, and intelligence for Risk and Compliance","Use dashboards, alerts, and selective intelligence to improve control over risk and compliance. Typical opportunities include control reminders, attestations, and breach alerts, with higher-value intelligence layers such as pattern analysis on control failures and remediation themes once underlying data is reliable.",Reporting layer / dashboard / alerting / workflow intelligence stack,"Trusted KPI definitions, timely source data, thresholds, and action history",Medium-High,"control reminders, attestations, and breach alerts",pattern analysis on control failures and remediation themes
