recommendation_id,issue_type,recommendation_title,recommendation_text,recommendation_type,linked_driver,linked_metric,why_this_matters,expected_outcome,advisory_note
REC-D05-02-03,weak_workflow_visibility_and_control,Introduce KPI control for Delivery-to-Billing Trigger,"Establish a management-control layer for delivery-to-billing trigger with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect unbilled / uninvoiced revenue leakage.","Control, Reporting, and Exception Management",Delivery-to-Billing Handoff,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over delivery-to-billing trigger directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,Earlier visibility into issues within delivery-to-billing trigger and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over delivery-to-billing trigger, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D05-03-01,unclear_workflow_definition,Design and standardize Usage / Timesheet Capture,"Redesign usage / timesheet capture as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that all billable time, usage, and units are recorded completely and accurately rather than depending on informal practice.",Process Design and Standardisation,Timesheet / Usage Capture,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over usage / timesheet capture directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,A documented and owned standard for usage / timesheet capture that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for usage / timesheet capture."
REC-D05-03-02,inconsistent_workflow_execution,Stabilize execution of Usage / Timesheet Capture,"Stabilize day-to-day execution of usage / timesheet capture by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Timesheet / Usage Capture,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over usage / timesheet capture directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,"More predictable execution of usage / timesheet capture with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in usage / timesheet capture, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D05-03-03,weak_workflow_visibility_and_control,Introduce KPI control for Usage / Timesheet Capture,"Establish a management-control layer for usage / timesheet capture with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect unbilled / uninvoiced revenue leakage.","Control, Reporting, and Exception Management",Timesheet / Usage Capture,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over usage / timesheet capture directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,Earlier visibility into issues within usage / timesheet capture and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over usage / timesheet capture, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D05-04-01,unclear_workflow_definition,Design and standardize Billing Setup,"Redesign billing setup as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that customer, contract, tax, price, and billing rule setup is correct before invoices are produced rather than depending on informal practice.",Process Design and Standardisation,Billing Setup Accuracy,Billing Error / Credit Note Leakage,This matters because weak control over billing setup directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,A documented and owned standard for billing setup that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for billing setup."
REC-D05-04-02,inconsistent_workflow_execution,Stabilize execution of Billing Setup,"Stabilize day-to-day execution of billing setup by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Billing Setup Accuracy,Billing Error / Credit Note Leakage,This matters because weak control over billing setup directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,"More predictable execution of billing setup with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in billing setup, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D05-04-03,weak_workflow_visibility_and_control,Introduce KPI control for Billing Setup,"Establish a management-control layer for billing setup with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect billing error / credit note leakage.","Control, Reporting, and Exception Management",Billing Setup Accuracy,Billing Error / Credit Note Leakage,This matters because weak control over billing setup directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,Earlier visibility into issues within billing setup and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over billing setup, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D05-05-01,unclear_workflow_definition,Design and standardize Invoice Generation,"Redesign invoice generation as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that invoices are created on time, in full, and aligned to the commercial agreement rather than depending on informal practice.",Process Design and Standardisation,Billing Workflow Speed,Billing Error / Credit Note Leakage,This matters because weak control over invoice generation directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,A documented and owned standard for invoice generation that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for invoice generation."
REC-D05-05-02,inconsistent_workflow_execution,Stabilize execution of Invoice Generation,"Stabilize day-to-day execution of invoice generation by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Billing Workflow Speed,Billing Error / Credit Note Leakage,This matters because weak control over invoice generation directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,"More predictable execution of invoice generation with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in invoice generation, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D05-05-03,weak_workflow_visibility_and_control,Introduce KPI control for Invoice Generation,"Establish a management-control layer for invoice generation with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect billing error / credit note leakage.","Control, Reporting, and Exception Management",Billing Workflow Speed,Billing Error / Credit Note Leakage,This matters because weak control over invoice generation directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,Earlier visibility into issues within invoice generation and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over invoice generation, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D05-06-01,unclear_workflow_definition,Design and standardize Invoice Review and Release,"Redesign invoice review and release as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that billing exceptions are resolved and invoices are approved without slowing cash rather than depending on informal practice.",Process Design and Standardisation,Invoice Accuracy,Billing Error / Credit Note Leakage,This matters because weak control over invoice review and release directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,A documented and owned standard for invoice review and release that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for invoice review and release."
REC-D05-06-02,inconsistent_workflow_execution,Stabilize execution of Invoice Review and Release,"Stabilize day-to-day execution of invoice review and release by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Invoice Accuracy,Billing Error / Credit Note Leakage,This matters because weak control over invoice review and release directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,"More predictable execution of invoice review and release with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in invoice review and release, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D05-06-03,weak_workflow_visibility_and_control,Introduce KPI control for Invoice Review and Release,"Establish a management-control layer for invoice review and release with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect billing error / credit note leakage.","Control, Reporting, and Exception Management",Invoice Accuracy,Billing Error / Credit Note Leakage,This matters because weak control over invoice review and release directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,Earlier visibility into issues within invoice review and release and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over invoice review and release, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D05-07-01,unclear_workflow_definition,Design and standardize Credit Note Management,"Redesign credit note management as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that credits are tightly governed so genuine corrections are handled without uncontrolled margin leakage rather than depending on informal practice.",Process Design and Standardisation,Credit Note Approval Discipline,Billing Error / Credit Note Leakage,This matters because weak control over credit note management directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,A documented and owned standard for credit note management that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for credit note management."
REC-D05-07-02,inconsistent_workflow_execution,Stabilize execution of Credit Note Management,"Stabilize day-to-day execution of credit note management by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Credit Note Approval Discipline,Billing Error / Credit Note Leakage,This matters because weak control over credit note management directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,"More predictable execution of credit note management with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in credit note management, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D05-07-03,weak_workflow_visibility_and_control,Introduce KPI control for Credit Note Management,"Establish a management-control layer for credit note management with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect billing error / credit note leakage.","Control, Reporting, and Exception Management",Credit Note Approval Discipline,Billing Error / Credit Note Leakage,This matters because weak control over credit note management directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,Earlier visibility into issues within credit note management and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over credit note management, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D05-08-01,unclear_workflow_definition,Design and standardize Billing Dispute Handling,"Redesign billing dispute handling as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that billing disputes are resolved fast, root-caused, and prevented from recurring rather than depending on informal practice.",Process Design and Standardisation,Dispute Rate,Billing Error / Credit Note Leakage,This matters because weak control over billing dispute handling directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,A documented and owned standard for billing dispute handling that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for billing dispute handling."
REC-D05-08-02,inconsistent_workflow_execution,Stabilize execution of Billing Dispute Handling,"Stabilize day-to-day execution of billing dispute handling by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Dispute Rate,Billing Error / Credit Note Leakage,This matters because weak control over billing dispute handling directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,"More predictable execution of billing dispute handling with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in billing dispute handling, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D05-08-03,weak_workflow_visibility_and_control,Introduce KPI control for Billing Dispute Handling,"Establish a management-control layer for billing dispute handling with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect billing error / credit note leakage.","Control, Reporting, and Exception Management",Dispute Rate,Billing Error / Credit Note Leakage,This matters because weak control over billing dispute handling directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,Earlier visibility into issues within billing dispute handling and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over billing dispute handling, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D06-01-01,unclear_workflow_definition,Design and standardize Credit Control,"Redesign credit control as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that credit exposure is assessed, limits are maintained, and overdue risk is acted on early rather than depending on informal practice.",Process Design and Standardisation,Credit Control,Bad Debt / Collections Leakage,This matters because weak control over credit control directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,A documented and owned standard for credit control that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for credit control."
REC-D06-01-02,inconsistent_workflow_execution,Stabilize execution of Credit Control,"Stabilize day-to-day execution of credit control by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Credit Control,Bad Debt / Collections Leakage,This matters because weak control over credit control directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,"More predictable execution of credit control with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in credit control, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D06-01-03,weak_workflow_visibility_and_control,Introduce KPI control for Credit Control,"Establish a management-control layer for credit control with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect bad debt / collections leakage.","Control, Reporting, and Exception Management",Credit Control,Bad Debt / Collections Leakage,This matters because weak control over credit control directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,Earlier visibility into issues within credit control and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over credit control, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D06-02-01,unclear_workflow_definition,Design and standardize Payment Terms Setup,"Redesign payment terms setup as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that approved payment terms are negotiated appropriately and recorded correctly in contracts and systems rather than depending on informal practice.",Process Design and Standardisation,Payment Terms Discipline,Bad Debt / Collections Leakage,This matters because weak control over payment terms setup directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,A documented and owned standard for payment terms setup that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for payment terms setup."
REC-D06-02-02,inconsistent_workflow_execution,Stabilize execution of Payment Terms Setup,"Stabilize day-to-day execution of payment terms setup by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Payment Terms Discipline,Bad Debt / Collections Leakage,This matters because weak control over payment terms setup directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,"More predictable execution of payment terms setup with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in payment terms setup, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D06-02-03,weak_workflow_visibility_and_control,Introduce KPI control for Payment Terms Setup,"Establish a management-control layer for payment terms setup with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect bad debt / collections leakage.","Control, Reporting, and Exception Management",Payment Terms Discipline,Bad Debt / Collections Leakage,This matters because weak control over payment terms setup directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,Earlier visibility into issues within payment terms setup and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over payment terms setup, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D06-03-01,unclear_workflow_definition,Design and standardize Collections Follow-Up,"Redesign collections follow-up as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that overdue accounts are pursued consistently with structured action and escalation rather than depending on informal practice.",Process Design and Standardisation,Collection Follow-Up Speed,Bad Debt / Collections Leakage,This matters because weak control over collections follow-up directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,A documented and owned standard for collections follow-up that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for collections follow-up."
REC-D06-03-02,inconsistent_workflow_execution,Stabilize execution of Collections Follow-Up,"Stabilize day-to-day execution of collections follow-up by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Collection Follow-Up Speed,Bad Debt / Collections Leakage,This matters because weak control over collections follow-up directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,"More predictable execution of collections follow-up with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in collections follow-up, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D06-03-03,weak_workflow_visibility_and_control,Introduce KPI control for Collections Follow-Up,"Establish a management-control layer for collections follow-up with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect bad debt / collections leakage.","Control, Reporting, and Exception Management",Collection Follow-Up Speed,Bad Debt / Collections Leakage,This matters because weak control over collections follow-up directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,Earlier visibility into issues within collections follow-up and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over collections follow-up, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D06-04-01,unclear_workflow_definition,Design and standardize Dispute Resolution,"Redesign dispute resolution as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that payment blockers are resolved quickly across finance, sales, and operations rather than depending on informal practice.",Process Design and Standardisation,Dispute Resolution Speed,Bad Debt / Collections Leakage,This matters because weak control over dispute resolution directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,A documented and owned standard for dispute resolution that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for dispute resolution."
REC-D06-04-02,inconsistent_workflow_execution,Stabilize execution of Dispute Resolution,"Stabilize day-to-day execution of dispute resolution by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Dispute Resolution Speed,Bad Debt / Collections Leakage,This matters because weak control over dispute resolution directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,"More predictable execution of dispute resolution with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in dispute resolution, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D06-04-03,weak_workflow_visibility_and_control,Introduce KPI control for Dispute Resolution,"Establish a management-control layer for dispute resolution with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect bad debt / collections leakage.","Control, Reporting, and Exception Management",Dispute Resolution Speed,Bad Debt / Collections Leakage,This matters because weak control over dispute resolution directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,Earlier visibility into issues within dispute resolution and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over dispute resolution, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D06-05-01,unclear_workflow_definition,Design and standardize Escalation Management,"Redesign escalation management as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that high-risk overdue accounts are escalated with clear authority and next-step decisions rather than depending on informal practice.",Process Design and Standardisation,Collection Follow-Up Speed,Bad Debt / Collections Leakage,This matters because weak control over escalation management directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,A documented and owned standard for escalation management that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for escalation management."
REC-D06-05-02,inconsistent_workflow_execution,Stabilize execution of Escalation Management,"Stabilize day-to-day execution of escalation management by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Collection Follow-Up Speed,Bad Debt / Collections Leakage,This matters because weak control over escalation management directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,"More predictable execution of escalation management with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in escalation management, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D06-05-03,weak_workflow_visibility_and_control,Introduce KPI control for Escalation Management,"Establish a management-control layer for escalation management with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect bad debt / collections leakage.","Control, Reporting, and Exception Management",Collection Follow-Up Speed,Bad Debt / Collections Leakage,This matters because weak control over escalation management directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,Earlier visibility into issues within escalation management and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over escalation management, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D06-06-01,unclear_workflow_definition,Design and standardize Bad Debt Review,"Redesign bad debt review as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that aged debt is reviewed objectively, provisioned appropriately, and fed back into prevention rather than depending on informal practice.",Process Design and Standardisation,Credit Control,Bad Debt / Collections Leakage,This matters because weak control over bad debt review directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,A documented and owned standard for bad debt review that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for bad debt review."
REC-D06-06-02,inconsistent_workflow_execution,Stabilize execution of Bad Debt Review,"Stabilize day-to-day execution of bad debt review by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Credit Control,Bad Debt / Collections Leakage,This matters because weak control over bad debt review directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,"More predictable execution of bad debt review with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in bad debt review, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D06-06-03,weak_workflow_visibility_and_control,Introduce KPI control for Bad Debt Review,"Establish a management-control layer for bad debt review with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect bad debt / collections leakage.","Control, Reporting, and Exception Management",Credit Control,Bad Debt / Collections Leakage,This matters because weak control over bad debt review directly increases the risk of bad debt / collections leakage and reduces management confidence in performance.,Earlier visibility into issues within bad debt review and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over bad debt review, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D07-01-01,unclear_workflow_definition,Design and standardize Customer Onboarding Success,"Redesign customer onboarding success as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that customers complete early setup and reach first value quickly rather than depending on informal practice.",Process Design and Standardisation,Customer Satisfaction,Revenue Churn Leakage,This matters because weak control over customer onboarding success directly increases the risk of revenue churn leakage and reduces management confidence in performance.,A documented and owned standard for customer onboarding success that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for customer onboarding success."
REC-D07-01-02,inconsistent_workflow_execution,Stabilize execution of Customer Onboarding Success,"Stabilize day-to-day execution of customer onboarding success by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Customer Satisfaction,Revenue Churn Leakage,This matters because weak control over customer onboarding success directly increases the risk of revenue churn leakage and reduces management confidence in performance.,"More predictable execution of customer onboarding success with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in customer onboarding success, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D07-01-03,weak_workflow_visibility_and_control,Introduce KPI control for Customer Onboarding Success,"Establish a management-control layer for customer onboarding success with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue churn leakage.","Control, Reporting, and Exception Management",Customer Satisfaction,Revenue Churn Leakage,This matters because weak control over customer onboarding success directly increases the risk of revenue churn leakage and reduces management confidence in performance.,Earlier visibility into issues within customer onboarding success and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over customer onboarding success, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D07-02-01,unclear_workflow_definition,Design and standardize Product / Service Adoption,"Redesign product / service adoption as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that customers use the product or service deeply enough to receive ongoing value rather than depending on informal practice.",Process Design and Standardisation,Product Adoption,Revenue Churn Leakage,This matters because weak control over product / service adoption directly increases the risk of revenue churn leakage and reduces management confidence in performance.,A documented and owned standard for product / service adoption that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for product / service adoption."
REC-D07-02-02,inconsistent_workflow_execution,Stabilize execution of Product / Service Adoption,"Stabilize day-to-day execution of product / service adoption by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Product Adoption,Revenue Churn Leakage,This matters because weak control over product / service adoption directly increases the risk of revenue churn leakage and reduces management confidence in performance.,"More predictable execution of product / service adoption with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in product / service adoption, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D07-02-03,weak_workflow_visibility_and_control,Introduce KPI control for Product / Service Adoption,"Establish a management-control layer for product / service adoption with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue churn leakage.","Control, Reporting, and Exception Management",Product Adoption,Revenue Churn Leakage,This matters because weak control over product / service adoption directly increases the risk of revenue churn leakage and reduces management confidence in performance.,Earlier visibility into issues within product / service adoption and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over product / service adoption, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D07-03-01,unclear_workflow_definition,Design and standardize Success Management,"Redesign success management as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that customer health, risks, and opportunities are actively managed throughout the lifecycle rather than depending on informal practice.",Process Design and Standardisation,Customer Satisfaction,Revenue Churn Leakage,This matters because weak control over success management directly increases the risk of revenue churn leakage and reduces management confidence in performance.,A documented and owned standard for success management that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for success management."
REC-D07-03-02,inconsistent_workflow_execution,Stabilize execution of Success Management,"Stabilize day-to-day execution of success management by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Customer Satisfaction,Revenue Churn Leakage,This matters because weak control over success management directly increases the risk of revenue churn leakage and reduces management confidence in performance.,"More predictable execution of success management with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in success management, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D07-03-03,weak_workflow_visibility_and_control,Introduce KPI control for Success Management,"Establish a management-control layer for success management with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue churn leakage.","Control, Reporting, and Exception Management",Customer Satisfaction,Revenue Churn Leakage,This matters because weak control over success management directly increases the risk of revenue churn leakage and reduces management confidence in performance.,Earlier visibility into issues within success management and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over success management, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D07-04-01,unclear_workflow_definition,Design and standardize Renewal Management,"Redesign renewal management as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that renewals are forecast, prepared, negotiated, and closed before contract expiry rather than depending on informal practice.",Process Design and Standardisation,Renewal Engagement,Revenue Churn Leakage,This matters because weak control over renewal management directly increases the risk of revenue churn leakage and reduces management confidence in performance.,A documented and owned standard for renewal management that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for renewal management."
REC-D07-04-02,inconsistent_workflow_execution,Stabilize execution of Renewal Management,"Stabilize day-to-day execution of renewal management by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Renewal Engagement,Revenue Churn Leakage,This matters because weak control over renewal management directly increases the risk of revenue churn leakage and reduces management confidence in performance.,"More predictable execution of renewal management with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in renewal management, including turnaround, quality, rework, SLA adherence, and exception handling."
